,cb2020,borocode,boroname,ct2020,bctcb2020,geoid,shape_leng,shape_area,geometry,land_cvr_0,land_cvr_1,land_cvr_2,land_cvr_3,land_cvr_4,land_cvr_5,land_cvr_6,land_cvr_7,land_cvr_8,land_cvr_1_rb,land_cvr_2_rb,land_cvr_3_rb,land_cvr_4_rb,land_cvr_5_rb,land_cvr_6_rb,land_cvr_7_rb,land_cvr_8_rb,elev_mean,elev_min,elev_max,elev_q1,elev_q3,ntaname,elev_mean_ct,elev_min_ct,elev_max_ct,elev_q1_ct,elev_q3_ct,catch_basin_count,catch_basin_density,sub_entr_count,rw_length,rw_avg_elev,lake_res_ind,pond_ind,river_ind,stream_ind,wl_marsh_ind,beach_shore_ind,bay_ocean_ind
13,2001,1,Manhattan,000202,10002022001,360610002022001,2113.9173288,173815.263742,"POLYGON ((988874.8959960938 198437.9501953125, 988792.5794067383 198432.03479003906, 988748.1372070312 198856.09899902344, 988745.4855957031 198879.0203857422, 988739.7484130859 198928.61138916016, 988737.640625 198946.82958984375, 988733.4868164062 198982.73278808594, 988731.3804321289 199000.94018554688, 988727.0322265625 199038.52319335938, 988723.0715942383 199072.7573852539, 988718.2456054688 199114.47119140625, 988741.1083984375 199118.00659179688, 988798.9566040039 199126.95318603516, 988819.5745849609 199130.14178466797, 988840.9625854492 199133.44958496094, 988864.9226074219 199137.15478515625, 988885.9191894531 199140.4022216797, 988908.0484008789 199143.82458496094, 988924.4047851562 199146.35418701172, 988939.9906005859 199148.76458740234, 988958.9479980469 199151.6964111328, 988976.8953857422 199154.47198486328, 989017.0602416992 199160.68341064453, 989035.3970336914 199163.5189819336, 989054.7833862305 199166.51721191406, 989076.1618041992 199169.82299804688, 989095.0787963867 199172.7485961914, 989126.0046386719 198822.45880126953, 988880.8187866211 198786.39862060547, 988914.5274047852 198488.0932006836, 988874.8959960938 198437.9501953125))",0.425783,0.284783,0.013878,0.0,0.0,0.146337,0.048697,0.080522,0.0,0.49595,0.024169,0.0,0.0,0.254846,0.084806,0.140229,0.0,14.1,0,33,0,26,Lower East Side,6.9,0,38,0,12,3.0,1.725970398349482e-05,,,,0,0,0,0,0,0,0
14,3000,1,Manhattan,000202,10002023000,360610002023000,1722.14172774,90697.8207344,"POLYGON ((989597.0364379883 198753.79919433594, 989606.4869995117 198663.12438964844, 989609.0281982422 198638.7407836914, 989613.9711914062 198591.31518554688, 989622.6630249023 198507.9169921875, 989595.991394043 198505.41381835938, 989495.9025878906 198496.01959228516, 989435.8300170898 199225.44580078125, 989462.1857910156 199229.52178955078, 989483.5076293945 199232.81939697266, 989531.4141845703 199240.22778320312, 989558.0010375977 199244.33959960938, 989560.2004394531 199216.70098876953, 989564.8348388672 199158.46258544922, 989567.1950073242 199128.80279541016, 989569.5560302734 199099.1337890625, 989571.9169921875 199069.4639892578, 989574.4586181641 199037.52502441406, 989576.7319946289 199008.95599365234, 989579.0062255859 198980.37658691406, 989581.6204223633 198947.5267944336, 989583.8214111328 198919.86779785156, 989586.8707885742 198881.54821777344, 989589.8469848633 198844.1489868164, 989593.3442382812 198800.2001953125, 989597.0364379883 198753.79919433594))",0.354188,0.244926,0.016977,0.0,0.0,0.158074,0.123445,0.102391,0.0,0.379253,0.026288,0.0,0.0,0.244768,0.191147,0.158546,0.0,15.1,0,31,0,27,Lower East Side,6.9,0,38,0,12,4.0,4.410249295530068e-05,,,,0,0,0,0,0,0,0
15,3001,1,Manhattan,000202,10002023001,360610002023001,1923.11646535,176312.109321,"POLYGON ((989495.9025878906 198496.01959228516, 989420.2587890625 198488.9197998047, 989402.6185913086 198487.2637939453, 989373.2886352539 198484.51098632812, 989322.0225830078 198479.69958496094, 989307.2833862305 198478.31579589844, 989292.0982055664 198476.890625, 989275.0814208984 198475.2933959961, 989251.9612426758 198541.107421875, 989188.2869873047 199187.16339111328, 989224.2363891602 199192.72302246094, 989241.9277954102 199195.458984375, 989258.8236083984 199198.07202148438, 989319.9340209961 199207.6494140625, 989408.1235961914 199221.16119384766, 989435.8300170898 199225.44580078125, 989495.9025878906 198496.01959228516))",0.237757,0.41138,0.028049,0.0,0.0,0.189494,0.028864,0.104456,0.0,0.539697,0.036798,0.0,0.0,0.248601,0.037867,0.137038,0.0,17.9,0,34,16,26,Lower East Side,6.9,0,38,0,12,,,,,,0,0,0,0,0,0,0
16,4000,1,Manhattan,000202,10002024000,360610002024000,3649.74247955,480052.74376,"POLYGON ((990912.2109985352 198965.87860107422, 990889.6716308594 198898.33319091797, 990869.2058105469 198845.9119873047, 990857.6704101562 198831.2891845703, 990817.2340087891 198721.4141845703, 990784.6948242188 198645.03619384766, 990763.4486083984 198604.86560058594, 990751.0662231445 198581.45379638672, 990706.1386108398 198509.0225830078, 990676.5914306641 198466.68041992188, 990628.9420166016 198407.31579589844, 990610.6978149414 198385.80322265625, 990564.81640625 198338.83081054688, 990480.4058227539 198256.59478759766, 990426.4930419922 198208.12579345703, 990398.8526000977 198184.5723876953, 990377.0714111328 198167.96099853516, 990350.1132202148 198153.80041503906, 990327.1050415039 198143.3140258789, 990298.7852172852 198134.05841064453, 990278.3619995117 198130.79022216797, 990246.2296142578 198127.79418945312, 990178.5521850586 198121.9755859375, 990134.0476074219 198118.15118408203, 990019.6036376953 198107.77978515625, 990014.524597168 198107.32080078125, 989991.5452270508 198105.3035888672, 989784.6553955078 198087.1323852539, 989716.1734008789 198081.07421875, 989701.4573974609 198080.11822509766, 989703.0223999023 198053.79119873047, 989653.2427978516 198049.34020996094, 989643.8173828125 198200.0092163086, 989641.048828125 198243.150390625, 989782.2557983398 198266.3099975586, 989804.1193847656 198272.55682373047, 989835.7399902344 198282.70739746094, 989897.0292358398 198302.94061279297, 989931.9468383789 198316.46801757812, 989941.5404052734 198320.18438720703, 990065.6838378906 198384.9907836914, 990132.8326416016 198432.6185913086, 990158.6002197266 198450.1876220703, 990182.4125976562 198471.27020263672, 990213.2556152344 198498.59619140625, 990240.9852294922 198522.591796875, 990241.067199707 198522.6646118164, 990295.5192260742 198583.70098876953, 990345.4404296875 198648.77978515625, 990350.3577880859 198656.28479003906, 990390.3912353516 198717.3851928711, 990410.7388305664 198753.0115966797, 990434.7053833008 198797.58178710938, 990439.0754394531 198806.55499267578, 990558.3107910156 199098.0308227539, 990593.0024414062 199085.82421875, 990912.2109985352 198965.87860107422))",0.640089,0.110326,0.026673,0.000947,0.001322,0.001482,0.017127,0.202034,0.0,0.306537,0.07411,0.002631,0.003673,0.004118,0.047587,0.561344,0.0,3.6,0,26,0,9,Lower East Side,6.9,0,38,0,12,,,,,,0,0,1,0,0,0,0
17,4001,1,Manhattan,000202,10002024001,360610002024001,2702.76086064,52773.6991481,"POLYGON ((990558.3107910156 199098.0308227539, 990439.0754394531 198806.55499267578, 990434.7053833008 198797.58178710938, 990410.7388305664 198753.0115966797, 990390.3912353516 198717.3851928711, 990350.3577880859 198656.28479003906, 990345.4404296875 198648.77978515625, 990295.5192260742 198583.70098876953, 990241.067199707 198522.6646118164, 990240.9852294922 198522.591796875, 990213.2556152344 198498.59619140625, 990182.4125976562 198471.27020263672, 990158.6002197266 198450.1876220703, 990132.8326416016 198432.6185913086, 990065.6838378906 198384.9907836914, 989941.5404052734 198320.18438720703, 989931.9468383789 198316.46801757812, 989897.0292358398 198302.94061279297, 989835.7399902344 198282.70739746094, 989804.1193847656 198272.55682373047, 989782.2557983398 198266.3099975586, 989641.048828125 198243.150390625, 989640.5534057617 198261.30682373047, 989638.5292358398 198278.1669921875, 989769.1686401367 198309.0692138672, 989878.0366210938 198340.73559570312, 989976.891418457 198385.732421875, 990039.9260253906 198420.90301513672, 990080.0449829102 198448.07501220703, 990105.7427978516 198465.4796142578, 990211.0476074219 198553.4224243164, 990251.6480102539 198588.8292236328, 990289.016784668 198628.3237915039, 990322.5598144531 198671.43719482422, 990351.7822265625 198717.58862304688, 990376.306640625 198766.11541748047, 990378.216003418 198769.76678466797, 990402.6121826172 198824.36358642578, 990419.6940307617 198865.79962158203, 990520.7518310547 199110.94079589844, 990539.5311889648 199104.48779296875, 990558.3107910156 199098.0308227539))",0.93395,0.0,0.0,0.0,0.0,0.0,0.056866,0.009183,0.0,0.0,0.0,0.0,0.0,0.0,0.860954,0.139031,0.0,0.6,0,11,0,0,Lower East Side,6.9,0,38,0,12,,,,,,0,0,0,0,0,0,0
18,4002,1,Manhattan,000202,10002024002,360610002024002,2912.11429115,287974.614347,"POLYGON ((990520.7518310547 199110.94079589844, 990419.6940307617 198865.79962158203, 990402.6121826172 198824.36358642578, 990378.216003418 198769.76678466797, 990376.306640625 198766.11541748047, 990351.7822265625 198717.58862304688, 990322.5598144531 198671.43719482422, 990289.016784668 198628.3237915039, 990251.6480102539 198588.8292236328, 990211.0476074219 198553.4224243164, 990105.7427978516 198465.4796142578, 990080.0449829102 198448.07501220703, 990039.9260253906 198420.90301513672, 989976.891418457 198385.732421875, 989878.0366210938 198340.73559570312, 989769.1686401367 198309.0692138672, 989638.5292358398 198278.1669921875, 989630.6354370117 198324.3546142578, 989622.6630249023 198507.9169921875, 989613.9711914062 198591.31518554688, 989609.0281982422 198638.7407836914, 989606.4869995117 198663.12438964844, 989597.0364379883 198753.79919433594, 990079.1718139648 198794.09759521484, 990344.325012207 198826.53839111328, 990463.5078125 199134.78259277344, 990520.7518310547 199110.94079589844))",0.636334,0.190448,0.028133,0.0,0.0,0.001644,0.054125,0.089316,0.0,0.523689,0.077359,0.0,0.0,0.004521,0.148832,0.245599,0.0,5.0,0,23,0,11,Lower East Side,6.9,0,38,0,12,4.0,1.3890113227758786e-05,,,,0,0,0,0,0,0,0
19,4003,1,Manhattan,000202,10002024003,360610002024003,2520.52232235,390953.925934,"POLYGON ((990463.5078125 199134.78259277344, 990344.325012207 198826.53839111328, 990079.1718139648 198794.09759521484, 989597.0364379883 198753.79919433594, 989593.3442382812 198800.2001953125, 989589.8469848633 198844.1489868164, 989586.8707885742 198881.54821777344, 989583.8214111328 198919.86779785156, 989581.6204223633 198947.5267944336, 989579.0062255859 198980.37658691406, 989576.7319946289 199008.95599365234, 989574.4586181641 199037.52502441406, 989571.9169921875 199069.4639892578, 989569.5560302734 199099.1337890625, 989567.1950073242 199128.80279541016, 989564.8348388672 199158.46258544922, 989560.2004394531 199216.70098876953, 989558.0010375977 199244.33959960938, 989991.3466186523 199319.82501220703, 990062.3143920898 199291.8099975586, 990336.1130371094 199183.72302246094, 990463.5078125 199134.78259277344))",0.238947,0.242379,0.078303,0.0,0.0,0.145698,0.080622,0.214052,0.0,0.318478,0.102888,0.0,0.0,0.191443,0.105935,0.281258,0.0,14.1,0,31,9,21,Lower East Side,6.9,0,38,0,12,3.0,7.673538493910542e-06,,,,0,0,0,0,0,0,0
20,5000,1,Manhattan,000202,10002025000,360610002025000,989.253459063,16174.0691778,"POLYGON ((989149.298828125 196328.60479736328, 989137.1102294922 196325.43878173828, 989113.3823852539 196325.0932006836, 989123.375 196426.97662353516, 989511.241394043 196455.05938720703, 989513.0701904297 196418.11401367188, 989156.8793945312 196395.98779296875, 989149.298828125 196328.60479736328))",0.690554,0.0,0.0,0.0,0.013379,0.0,0.0,0.296067,0.0,0.0,0.0,0.0,0.043235,0.0,0.0,0.956765,0.0,0.0,0,0,0,0,Lower East Side,6.9,0,38,0,12,,,,,,0,0,1,0,0,0,0
21,6000,1,Manhattan,000202,10002026000,360610002026000,1183.31245861,86363.8521429,"POLYGON ((988748.1372070312 198856.09899902344, 988422.1864013672 198807.18798828125, 988401.5845947266 198989.16760253906, 988399.7346191406 199005.50860595703, 988392.3998413086 199070.29779052734, 988718.2456054688 199114.47119140625, 988723.0715942383 199072.7573852539, 988727.0322265625 199038.52319335938, 988731.3804321289 199000.94018554688, 988733.4868164062 198982.73278808594, 988737.640625 198946.82958984375, 988739.7484130859 198928.61138916016, 988745.4855957031 198879.0203857422, 988748.1372070312 198856.09899902344))",0.213452,0.368422,0.034296,0.0,0.0,0.056192,0.158954,0.168683,0.0,0.468404,0.043603,0.0,0.0,0.071441,0.202091,0.21446,0.0,22.6,0,32,26,30,Lower East Side,6.9,0,38,0,12,1.0,1.1578918438531118e-05,,,,0,0,0,0,0,0,0
22,6001,1,Manhattan,000202,10002026001,360610002026001,1495.20456661,137380.926173,"POLYGON ((988792.5794067383 198432.03479003906, 988709.6760253906 198423.8916015625, 988468.3774414062 198396.69018554688, 988449.2886352539 198567.6864013672, 988422.1864013672 198807.18798828125, 988748.1372070312 198856.09899902344, 988792.5794067383 198432.03479003906))",0.195005,0.366874,0.029645,0.0,0.0,0.097628,0.121932,0.188915,0.0,0.455747,0.036826,0.0,0.0,0.121278,0.151469,0.234678,0.0,17.2,0,28,16,23,Lower East Side,6.9,0,38,0,12,3.0,2.1837092554043366e-05,,,,0,0,0,0,0,0,0
23,6002,1,Manhattan,000202,10002026002,360610002026002,714.692040399,31802.9883994,"POLYGON ((988892.5104370117 198246.24438476562, 988730.4044189453 198231.43798828125, 988709.6760253906 198423.8916015625, 988792.5794067383 198432.03479003906, 988874.8959960938 198437.9501953125, 988892.5104370117 198246.24438476562))",0.162764,0.015566,0.006213,0.0,0.0,0.298661,0.210889,0.305908,0.0,0.018592,0.007421,0.0,0.0,0.356723,0.251887,0.365378,0.0,7.5,0,15,7,10,Lower East Side,6.9,0,38,0,12,3.0,9.433075792514512e-05,,,,0,0,0,0,0,0,0
24,6003,1,Manhattan,000202,10002026003,360610002026003,1869.92595662,144737.094999,"POLYGON ((989630.6354370117 198324.3546142578, 989311.216796875 198278.45239257812, 988892.5104370117 198246.24438476562, 988874.8959960938 198437.9501953125, 988907.0838012695 198440.75299072266, 988934.341796875 198443.31158447266, 988958.6018066406 198445.58862304688, 988985.950012207 198448.1553955078, 989013.7883911133 198450.76818847656, 989045.1848144531 198453.7153930664, 989075.2817993164 198456.54022216797, 989098.9819946289 198458.76458740234, 989119.7131958008 198460.7103881836, 989141.9334106445 198462.7960205078, 989157.6278076172 198464.26879882812, 989173.4501953125 198465.75421142578, 989215.0521850586 198469.65899658203, 989275.0814208984 198475.2933959961, 989292.0982055664 198476.890625, 989307.2833862305 198478.31579589844, 989322.0225830078 198479.69958496094, 989373.2886352539 198484.51098632812, 989402.6185913086 198487.2637939453, 989420.2587890625 198488.9197998047, 989495.9025878906 198496.01959228516, 989595.991394043 198505.41381835938, 989622.6630249023 198507.9169921875, 989630.6354370117 198324.3546142578))",0.271157,0.232326,0.020941,0.0,0.0,0.150924,0.097641,0.22701,0.0,0.31876,0.028732,0.0,0.0,0.207073,0.133967,0.311466,0.0,9.5,0,19,0,14,Lower East Side,6.9,0,38,0,12,5.0,3.454539418546811e-05,,,,0,0,0,0,0,0,0
25,6004,1,Manhattan,000202,10002026004,360610002026004,2376.36526997,43537.8669204,"POLYGON ((989638.5292358398 198278.1669921875, 989568.5549926758 198271.2471923828, 989376.6268310547 198252.26818847656, 989052.3984375 198221.34619140625, 989023.6848144531 198218.6674194336, 988896.0942382812 198206.76318359375, 988813.798034668 198199.0853881836, 988733.5946044922 198191.6024169922, 988496.2644042969 198169.45959472656, 988490.9428100586 198204.77459716797, 988730.4044189453 198231.43798828125, 988892.5104370117 198246.24438476562, 989311.216796875 198278.45239257812, 989630.6354370117 198324.3546142578, 989638.5292358398 198278.1669921875))",0.756096,0.000447,0.0,0.0,0.0,0.0,0.222445,0.021012,0.0,0.001833,0.0,0.0,0.0,0.0,0.912019,0.086149,0.0,2.4,0,12,0,0,Lower East Side,6.9,0,38,0,12,1.0,2.296851156783343e-05,,,,0,0,0,0,0,0,0
